id,stage,date,time,home,away
P73,r32,2026-06-28,19:00,South Africa,Canada
P74,r32,2026-06-29,20:30,Germany,Paraguay
P75,r32,2026-06-30,01:00,Netherlands,Morocco
P76,r32,2026-06-29,17:00,Brazil,Japan
P77,r32,2026-06-30,21:00,France,Sweden
P78,r32,2026-06-30,17:00,Ivory Coast,Norway
P79,r32,2026-07-01,01:00,Mexico,Ecuador
P80,r32,2026-07-01,16:00,England,DR Congo
P81,r32,2026-07-02,00:00,United States,Bosnia and Herzegovina
P82,r32,2026-07-01,20:00,Belgium,Senegal
P83,r32,2026-07-02,23:00,Portugal,Croatia
P84,r32,2026-07-02,19:00,Spain,Austria
P85,r32,2026-07-03,03:00,Switzerland,Algeria
P86,r32,2026-07-03,22:00,Argentina,Cape Verde
P87,r32,2026-07-04,01:30,Colombia,Ghana
P88,r32,2026-07-03,18:00,Australia,Egypt
P89,r16,2026-07-04,21:00,Paraguay,France
P90,r16,2026-07-04,17:00,Canada,Morocco
P91,r16,2026-07-05,20:00,Brazil,Norway
P92,r16,2026-07-06,00:00,Mexico,England
P93,r16,2026-07-06,19:00,Portugal,Spain
P94,r16,2026-07-07,00:00,United States,Belgium
P95,r16,2026-07-07,16:00,Argentina,Egypt
P96,r16,2026-07-07,20:00,Switzerland,Colombia
P97,qf,2026-07-09,20:00,France,Morocco
